date,city,company,desc,price
2026-05-18,BANGALORE,Vencobb,(Large) Per kg,121.0
2026-05-18,HASSAN,Vencobb,(Large) Per kg,121.0
2026-05-18,MYSORE,Vencobb,(Large) Per kg,121.0
2026-05-18,SHIMOGA,Vencobb,(Large) Per kg,119.0
2026-05-18,hosadurga,Vencobb,(Large) Per Kg,119.0
2026-05-19,BANGALORE,Vencobb,(Large) Per kg,123.0
2026-05-19,HASSAN,Vencobb,(Large) Per kg,123.0
2026-05-19,MYSORE,Vencobb,(Large) Per kg,123.0
2026-05-19,SHIMOGA,Vencobb,(Large) Per kg,121.0
2026-05-19,hosadurga,Vencobb,(Large) Per Kg,121.0
2026-05-20,BANGALORE,Vencobb,(Large) Per kg,123.0
2026-05-20,HASSAN,Vencobb,(Large) Per kg,123.0
2026-05-20,MYSORE,Vencobb,(Large) Per kg,123.0
2026-05-20,SHIMOGA,Vencobb,(Large) Per kg,121.0
2026-05-20,hosadurga,Vencobb,(Large) Per Kg,121.0
2026-05-21,BANGALORE,Vencobb,(Large) Per kg,123.0
2026-05-21,HASSAN,Vencobb,(Large) Per kg,123.0
2026-05-21,MYSORE,Vencobb,(Large) Per kg,123.0
2026-05-21,SHIMOGA,Vencobb,(Large) Per kg,121.0
2026-05-21,hosadurga,Vencobb,(Large) Per Kg,121.0
2026-05-22,BANGALORE,Vencobb,(Large) Per kg,114.0
2026-05-22,HASSAN,Vencobb,(Large) Per kg,116.0
2026-05-22,MYSORE,Vencobb,(Large) Per kg,116.0
2026-05-22,SHIMOGA,Vencobb,(Large) Per kg,116.0
2026-05-22,hosadurga,Vencobb,(Large) Per Kg,116.0
2026-05-23,BANGALORE,Vencobb,(Large) Per kg,110.0
2026-05-23,HASSAN,Vencobb,(Large) Per kg,114.0
2026-05-23,MYSORE,Vencobb,(Large) Per kg,112.0
2026-05-23,SHIMOGA,Vencobb,(Large) Per kg,114.0
2026-05-23,hosadurga,Vencobb,(Large) Per Kg,114.0
2026-05-24,BANGALORE,Vencobb,(Large) Per kg,105.0
2026-05-24,HASSAN,Vencobb,(Large) Per kg,110.0
2026-05-24,MYSORE,Vencobb,(Large) Per kg,107.0
2026-05-24,SHIMOGA,Vencobb,(Large) Per kg,110.0
2026-05-24,hosadurga,Vencobb,(Large) Per Kg,110.0
2026-05-25,BANGALORE,Vencobb,(Large) Per kg,108.0
2026-05-25,HASSAN,Vencobb,(Large) Per kg,113.0
2026-05-25,MYSORE,Vencobb,(Large) Per kg,110.0
2026-05-25,SHIMOGA,Vencobb,(Large) Per kg,113.0
2026-05-25,hosadurga,Vencobb,(Large) Per Kg,113.0
2026-05-26,BANGALORE,Vencobb,(Large) Per kg,113.0
2026-05-26,HASSAN,Vencobb,(Large) Per kg,117.0
2026-05-26,MYSORE,Vencobb,(Large) Per kg,115.0
2026-05-26,SHIMOGA,Vencobb,(Large) Per kg,117.0
2026-05-26,hosadurga,Vencobb,(Large) Per Kg,117.0
2026-05-27,BANGALORE,Vencobb,(Large) Per kg,117.0
